distance_deg,P,S,PcP,ScS,PKP,SKS
0.0000,,,503.6459,922.2577,,
1.8182,,,503.8053,922.5515,,
3.6364,,95.9947,504.2830,923.4323,,
5.4545,78.6896,140.8028,505.0777,924.8977,,
7.2727,103.6173,185.5541,506.1875,926.9441,,
9.0909,128.5192,230.2147,507.6094,929.5663,,
10.9091,153.3865,274.7571,509.3399,932.7578,,
12.7273,178.2111,319.1553,511.3747,936.5106,,
14.5455,202.7808,363.3844,513.7086,940.8158,,
16.3636,226.2092,407.4534,516.3361,945.6631,,
18.1818,248.4584,451.3947,519.2508,951.0411,,
20.0000,268.3434,491.2041,522.4461,956.9376,,
21.8182,287.9283,527.0706,525.9146,963.3394,,
23.6364,306.6075,558.4512,529.6487,970.2327,,
25.4545,323.1620,587.5344,533.6404,977.6028,,
27.2727,339.5606,616.1974,537.8812,985.4349,,
29.0909,355.7609,644.7899,542.3627,993.7132,,
30.9091,371.8253,673.2540,547.0760,1002.4220,,
32.7273,387.7607,701.5435,552.0123,1011.5451,,
34.5455,403.5329,729.6273,557.1626,1021.0663,,
36.3636,419.1203,757.4716,562.5177,1030.9692,,
38.1818,434.5077,785.0527,568.0688,1041.2376,,
40.0000,449.6843,812.3526,573.8067,1051.8550,,
41.8182,464.6414,839.3529,579.7226,1062.8055,,
43.6364,479.3726,866.0406,585.8075,1074.0729,,
45.4545,493.8732,892.4038,592.0529,1085.6416,,
47.2727,508.1393,918.4333,598.4502,1097.4962,,
49.0909,522.1694,944.1205,604.9909,1109.6214,,
50.9091,535.9614,969.4609,611.6669,1122.0025,,
52.7273,549.5152,994.4473,618.4703,1134.6250,,
54.5455,562.8296,1019.0768,625.3931,1147.4748,,
56.3636,575.9041,1043.3440,632.4280,1160.5384,,
58.1818,588.7390,1067.2469,639.5675,1173.8023,,
60.0000,601.3345,1090.7842,646.8047,1187.2538,,
61.8182,613.6908,1113.9510,654.1325,1200.8805,,
63.6364,625.8074,1136.7443,661.5446,1214.6703,,1214.6538
65.4545,637.6851,1159.1638,669.0344,1228.6116,,1228.4447
67.2727,649.3224,1181.2044,676.5960,1242.6932,,1242.2169
69.0909,660.7199,1202.8649,684.2233,1256.9045,,1255.9535
70.9091,671.8764,1224.1411,691.9109,1271.2350,,1269.6323
72.7273,682.7904,1245.0299,699.6533,1285.6748,,1283.2239
74.5455,693.4616,1265.5277,707.4453,1300.2143,,1296.6903
76.3636,703.8870,1285.6283,715.2820,1314.8444,,1309.9861
78.1818,714.0658,1305.3292,723.1588,1329.5562,,1323.0553
80.0000,723.9948,1324.6231,731.0713,1344.3414,,1335.8439
81.8182,733.6724,1343.5031,739.0151,1359.1919,,1348.3073
83.6364,743.0940,1361.9623,746.9862,1374.0999,,1360.4164
85.4545,752.2565,1379.9928,754.9809,1389.0582,,1372.1576
87.2727,761.1562,1397.5866,762.9956,1404.0597,,1383.5328
89.0909,769.7880,1414.7323,771.0269,1419.0977,,1394.5457
90.9091,778.2277,1431.4186,779.0718,1434.1658,,1405.2059
92.7273,786.6247,1447.6361,787.1270,1449.2579,,1415.5258
94.5455,794.9538,1463.4881,795.1897,1464.3683,,1425.5190
96.3636,803.1938,1479.1614,803.2574,1479.4914,,1435.1959
98.1818,811.3279,1494.5834,811.3269,1494.6218,,1444.5670
100.0000,,,,,,1453.6461
101.8182,,,,,,1462.4422
103.6364,,,,,,1470.9637
105.4545,,,,,,1479.2200
107.2727,,,,,,1487.2195
109.0909,,,,,,1494.9707
110.9091,,,,,,1502.4801
112.7273,,,,,,1509.7547
114.5455,,,,,,1516.7994
116.3636,,,,,,1523.6198
118.1818,,,,,,1530.2225
120.0000,,,,,,1536.6121
121.8182,,,,,,1542.7927
123.6364,,,,,,1548.7685
125.4545,,,,,,1554.5438
127.2727,,,,,,1560.1215
129.0909,,,,,,1565.5055
130.9091,,,,,,1570.6984
132.7273,,,,,,1575.7030
134.5455,,,,,,1580.5228
136.3636,,,,,,1585.1599
138.1818,,,,,,1589.6160
140.0000,,,,,,1593.8930
141.8182,,,,,,1597.9930
143.6364,,,,,,1601.9171
145.4545,,,,,1171.5673,
147.2727,,,,,1177.0243,
149.0909,,,,,1182.0407,
150.9091,,,,,1186.6976,
152.7273,,,,,1191.0352,
154.5455,,,,,1195.0791,
156.3636,,,,,1217.1194,
158.1818,,,,,1224.9756,
160.0000,,,,,1232.8810,
161.8182,,,,,1240.8258,
163.6364,,,,,1248.8025,
165.4545,,,,,1256.8053,
167.2727,,,,,1264.8289,
169.0909,,,,,1272.8689,
170.9091,,,,,1280.9211,
172.7273,,,,,1288.9823,
174.5455,,,,,1297.0493,
176.3636,,,,,1305.1185,
178.1818,,,,,,
180.0000,,,,,,
